Dog Breed,Category,Symptom
博美犬,泌尿系統,高尿酸尿症／膀胱結石
博美犬,內分泌系統,甲狀腺功能低下
博美犬,腦及神經,水腦症
博美犬,腦及神經,壞死性腦膜腦炎
博美犬,脊椎脊髓及神經,寰樞椎間半脫臼
巴哥犬,毛髮皮膚,過敏性皮炎
巴哥犬,眼睛,眼瞼內翻
巴哥犬,眼睛,暴露角膜病變綜合症/色素性角膜炎
巴哥犬,眼睛,永久性瞳孔殘膜
巴哥犬,眼睛,多生睫毛
巴哥犬,眼睛,慢性淺表性角膜炎
巴哥犬,眼睛,大眼瞼症
巴哥犬,眼睛,白內障
巴哥犬,骨骼及關節,髖關節發育不良和股骨頭缺血性壞死
巴哥犬,骨骼及關節,肘關節發育不良
巴哥犬,骨骼及關節,髕骨異位
巴哥犬,血液,肝門脈系統分流
巴哥犬,呼吸系統,肺葉捻轉
巴哥犬,呼吸系統,短吻犬呼吸道症候群
巴哥犬,泌尿系統,膀胱結石
巴哥犬,內分泌系統,糖尿病
巴哥犬,內分泌系統,甲狀腺功能低下
巴哥犬,腦及神經,巴哥犬腦炎
巴哥犬,脊椎脊髓及神經,退化性脊髓病
巴哥犬,脊椎脊髓及神經,半脊椎及蝴蝶椎
巴哥犬,腫瘤及癌症,肥大細胞瘤
巴哥犬,畸形,胎兒水腫
北京犬,毛髮皮膚,肛門腺疾病
北京犬,眼睛,白內障
北京犬,眼睛,乾眼症
北京犬,眼睛,多生睫毛
北京犬,眼睛,原發性青光眼
北京犬,眼睛,慢性淺表性角膜炎
北京犬,眼睛,異生睫毛
北京犬,眼睛,眼瞼內翻
北京犬,眼睛,暴露性角膜病變綜合症
北京犬,眼睛,水晶體移位
北京犬,眼睛,大眼瞼症
北京犬,眼睛,漸進性視網膜萎縮症
北京犬,骨骼及關節,髕骨異位
北京犬,骨骼及關節,髖關節發育不良和股骨頭缺血性壞死
北京犬,骨骼及關節,肘關節增生不良
北京犬,血液,肝門脈系統分流
北京犬,心臟,慢性瓣膜性心臟病
北京犬,呼吸系統,短吻犬呼吸道症候群
北京犬,消化排泄系統,會陰疝氣
北京犬,泌尿系統,膀胱結石
北京犬,內分泌系統,甲狀腺功能低下
北京犬,腦及神經,壞死性腦膜腦炎
北京犬,脊椎脊髓及神經,椎間盤突出
北京犬,脊椎脊髓及神經,寰樞椎間半脫臼
北京犬,腫瘤及癌症,睾丸細胞瘤
比熊犬,毛髮皮膚,異位性皮膚炎
比熊犬,眼睛,白內障
比熊犬,眼睛,淚腺分泌過盛
比熊犬,眼睛,多生睫毛
比熊犬,眼睛,角膜內皮營養不良症
比熊犬,眼睛,永久性性瞳孔殘膜
比熊犬,眼睛,原發性青光眼
比熊犬,骨骼及關節,髖關節發育不全與股骨頭缺血性壞死
比熊犬,骨骼及關節,髕骨異位
比熊犬,骨骼及關節,肘關節發育不良
比熊犬,血液,肝門脈系統分流
比熊犬,心臟,開放性動脈導管
比熊犬,呼吸系統,纖毛運動異常症，部分動物會伴隨臟器逆位
比熊犬,消化排泄系統,臍疝氣
比熊犬,泌尿系統,尿路結石
比熊犬,內分泌系統,甲狀腺功能低下
比熊犬,內分泌系統,糖尿病
比熊犬,生殖系統,隱睾症
比熊犬,免疫系統,免疫性溶血
迷你、玩具貴賓犬,毛髮皮膚,皮脂腺炎
迷你、玩具貴賓犬,毛髮皮膚,X脫毛症
迷你、玩具貴賓犬,眼睛,漸進性視網膜萎縮症
迷你、玩具貴賓犬,眼睛,多生睫毛
迷你、玩具貴賓犬,眼睛,白內障
迷你、玩具貴賓犬,眼睛,永久性瞳孔殘膜
迷你、玩具貴賓犬,眼睛,繼發性青光眼
迷你、玩具貴賓犬,眼睛,玻璃體退化
迷你、玩具貴賓犬,眼睛,原發青光眼
迷你、玩具貴賓犬,眼睛,水晶體誘發的晶體溶解性葡萄膜炎
迷你、玩具貴賓犬,眼睛,視神經發育不良
迷你、玩具貴賓犬,眼睛,溢淚
迷你、玩具貴賓犬,骨骼及關節,髖關節發育不全
迷你、玩具貴賓犬,骨骼及關節,髕關節異位
迷你、玩具貴賓犬,骨骼及關節,肘部發育不良
迷你、玩具貴賓犬,骨骼及關節,股骨頭缺血性壞死
迷你、玩具貴賓犬,血液,溫韋伯氏疾病/類血友病
迷你、玩具貴賓犬,心臟,二尖瓣疾病/鬱血性心力衰竭/斜體瓣病
迷你、玩具貴賓犬,心臟,開放性動脈導管
迷你、玩具貴賓犬,呼吸系統,支氣管擴張
迷你、玩具貴賓犬,呼吸系統,氣管坍塌
迷你、玩具貴賓犬,消化排泄系統,會陰疝氣
迷你、玩具貴賓犬,泌尿系統,草酸鈣尿石症
迷你、玩具貴賓犬,內分泌系統,糖尿病
迷你、玩具貴賓犬,內分泌系統,腎上腺皮質功能亢進症(庫興氏症候群)
迷你、玩具貴賓犬,內分泌系統,甲低
迷你、玩具貴賓犬,脊椎脊髓及神經,退化性脊髓病
迷你、玩具貴賓犬,脊椎脊髓及神經,新生兒腦病
迷你、玩具貴賓犬,腫瘤及癌症,舌部鱗狀上皮細胞癌
迷你、玩具貴賓犬,腫瘤及癌症,乳腺骨肉瘤
迷你、玩具貴賓犬,生殖系統,隱睪
迷你、玩具貴賓犬,嘴及口腔,牙周病
迷你、玩具貴賓犬,耳朵,外耳炎
迷你、玩具貴賓犬,免疫系統,遺傳性自身免疫性甲狀腺炎
迷你雪納瑞,毛髮皮膚,淺層化膿性壞死溶解性皮膚炎
迷你雪納瑞,毛髮皮膚,雪納瑞粉刺症候群
迷你雪納瑞,眼睛,漸進性視網膜萎縮症
迷你雪納瑞,眼睛,視網膜增生不良
迷你雪納瑞,眼睛,先天性白內障和小眼症
迷你雪納瑞,眼睛,白內障
迷你雪納瑞,眼睛,永久性瞳孔殘膜
迷你雪納瑞,眼睛,睫毛倒插
迷你雪納瑞,眼睛,突發性急性視網膜退化症
迷你雪納瑞,骨骼及關節,髖關節發育不良
迷你雪納瑞,血液,肝門脈系統性分流
迷你雪納瑞,血液,不明原因性高脂蛋白血症
迷你雪納瑞,血液,遺傳性口型貧血
迷你雪納瑞,血液,動脈粥狀硬化(罕見)
迷你雪納瑞,心臟,慢性二尖瓣病/二尖瓣脫垂
迷你雪納瑞,心臟,肺動脈瓣狹窄
迷你雪納瑞,心臟,病竇症後群
迷你雪納瑞,消化排泄系統,食道症/巨食道
迷你雪納瑞,消化排泄系統,胰臟炎
迷你雪納瑞,泌尿系統,泌尿系結石
迷你雪納瑞,泌尿系統,青少年時期腎病
迷你雪納瑞,內分泌系統,甲狀腺功能低下
迷你雪納瑞,內分泌系統,腎上腺皮質功能亢進症(庫興氏症候群)
迷你雪納瑞,內分泌系統,糖尿病
迷你雪納瑞,腦及神經,神經性蠟樣脂褐質沈著症
迷你雪納瑞,脊椎脊髓及神經,脊髓纖維軟骨栓塞
迷你雪納瑞,生殖系統,慕勒氏管永存症
迷你雪納瑞,肌肉,先天性肌強直症
迷你雪納瑞,免疫系統,免疫性溶血性貧血
西施犬,眼睛,多生睫毛
西施犬,眼睛,原發性青光眼
西施犬,眼睛,溢淚
西施犬,眼睛,眼瞼內翻
西施犬,眼睛,玻璃體退化
西施犬,眼睛,白內障
西施犬,眼睛,大眼瞼症
西施犬,眼睛,暴露性角膜炎症候群/色素性角膜炎
西施犬,眼睛,睫毛倒插
西施犬,眼睛,角膜內皮失養症
西施犬,眼睛,瞬膜腺體脫出 (櫻桃眼)
西施犬,眼睛,漸進性視網膜退化症
西施犬,眼睛,慢性淺層角膜炎
西施犬,眼睛,乾眼症
西施犬,眼睛,視神經發育不全
西施犬,骨骼及關節,髖關節發育不全及股骨頭缺血性壞死
西施犬,骨骼及關節,髕骨鬆弛
西施犬,骨骼及關節,肘關節發育不全
西施犬,血液,肝門脈系統分流
西施犬,呼吸系統,短吻犬症候群
西施犬,消化排泄系統,臍疝氣
西施犬,泌尿系統,尿路結石
西施犬,泌尿系統,腎發育不全／異常
西施犬,內分泌系統,甲狀腺功能低下
西施犬,腦及神經,癲癇
西施犬,脊椎脊髓及神經,椎間盤突出疾病
查理士小獵犬,毛髮皮膚,過敏性皮炎
查理士小獵犬,毛髮皮膚,皮脂腺囊腫
查理士小獵犬,毛髮皮膚,先天性角膜結膜炎及魚鱗狀皮膚病
查理士小獵犬,眼睛,視網膜增生不良
查理士小獵犬,眼睛,多生睫毛
查理士小獵犬,眼睛,角膜內皮失養症
查理士小獵犬,眼睛,白內障
查理士小獵犬,眼睛,先天性乾眼症
查理士小獵犬,眼睛,永久性瞳孔殘膜
查理士小獵犬,眼睛,小眼症
查理士小獵犬,骨骼及關節,髖關節發育不良和股骨頭缺血性壞死
查理士小獵犬,骨骼及關節,髕骨異位
查理士小獵犬,骨骼及關節,肘關節發育不良
查理士小獵犬,骨骼及關節,顳下頜關節發育不良
查理士小獵犬,血液,股動脈閉塞／動脈血栓栓塞症
查理士小獵犬,心臟,慢性二尖瓣病／二尖瓣脫垂
查理士小獵犬,呼吸系統,短吻犬症候群
查理士小獵犬,消化排泄系統,臍帶疝氣
查理士小獵犬,消化排泄系統,慢性胰腺炎
查理士小獵犬,泌尿系統,黃嘌呤尿症
查理士小獵犬,泌尿系統,黃嘌呤尿石症
查理士小獵犬,內分泌系統,胰臟腺胞萎縮
查理士小獵犬,內分泌系統,糖尿病
查理士小獵犬,內分泌系統,甲狀腺功能低下
查理士小獵犬,腦及神經,脊髓空洞症
查理士小獵犬,腦及神經,類奇亞里畸形／枕骨發育不全
查理士小獵犬,腦及神經,原因不明性癲癇
查理士小獵犬,脊椎脊隨及神經,椎間盤突出疾病
查理士小獵犬,肌肉,突發性癱倒
查理士小獵犬,肌肉,肌肉萎縮症
查理士小獵犬,耳朵,耳聾
查理士小獵犬,耳朵,原發性分泌性中耳炎
查理士小獵犬,免疫系統,嗜酸性炎症
西高地白㹴,毛髮皮膚,異位性皮膚炎
西高地白㹴,毛髮皮膚,淺表壞死性皮膚炎
西高地白㹴,毛髮皮膚,厚皮馬拉色菌感染
西高地白㹴,眼睛,永久性瞳孔殘膜
西高地白㹴,眼睛,白內障
西高地白㹴,眼睛,乾眼症
西高地白㹴,眼睛,視網膜增生不良
西高地白㹴,眼睛,漸進性視網膜萎縮症
西高地白㹴,骨骼及關節,髕骨異位
西高地白㹴,骨骼及關節,髖關節發育不良和股骨頭缺血性壞死
西高地白㹴,骨骼及關節,頭蓋骨下顎骨病
西高地白㹴,骨骼及關節,肘關節增生不良
西高地白㹴,血液,肝門脈系統分流
西高地白㹴,血液,丙酮酸活化酶缺乏症
西高地白㹴,心臟,二尖瓣疾病
西高地白㹴,心臟,竇房結病變症後群
西高地白㹴,呼吸系統,慢性間質性肺病
西高地白㹴,消化排泄系統,炎症性腸病
西高地白㹴,消化排泄系統,遺傳性銅中毒
西高地白㹴,泌尿系統,腎臟增生不良
西高地白㹴,泌尿系統,膀胱結石
西高地白㹴,內分泌系統,糖尿病
西高地白㹴,內分泌系統,腎上腺皮質功能亢進症（庫興氏症候群）
西高地白㹴,內分泌系統,腎上腺皮質分泌不全（愛迪生氏症）
西高地白㹴,內分泌系統,甲狀腺功能低下
西高地白㹴,腦及神經,球細胞腦白質失養症
西高地白㹴,腦及神經,白狗搖擺症後群
西高地白㹴,腫瘤及癌症,淋巴瘤/淋巴肉瘤
西高地白㹴,腫瘤及癌症,膀胱癌
臘腸犬,毛髮皮膚,無菌性脂膜炎
臘腸犬,毛髮皮膚,顏色稀釋性脫髮
臘腸犬,眼睛,漸進性視網膜萎縮症
臘腸犬,眼睛,永久性瞳孔殘膜
臘腸犬,眼睛,虹膜缺損
臘腸犬,眼睛,多生睫毛
臘腸犬,眼睛,角膜營養不良
臘腸犬,眼睛,白內障
臘腸犬,眼睛,慢性淺層角膜炎
臘腸犬,眼睛,點狀角膜炎
臘腸犬,眼睛,視神經缺損
臘腸犬,眼睛,小眼症
臘腸犬,眼睛,視網膜增生不良
臘腸犬,眼睛,視神經不全
臘腸犬,眼睛,突發性後天性視網膜退變症候群
臘腸犬,骨骼及關節,髖關節發育不良與股骨頭缺血性壞死
臘腸犬,骨骼及關節,成骨不全症
臘腸犬,骨骼及關節,髕骨異位
臘腸犬,骨骼及關節,肘關節增生不良
臘腸犬,血液,丙酮酸活化酶缺乏症
臘腸犬,心臟,二尖瓣脫垂
臘腸犬,泌尿系統,尿路結石
臘腸犬,內分泌系統,腎上腺皮質功能亢進症(庫興氏症候群)
臘腸犬,內分泌系統,甲狀腺功能低下
臘腸犬,腦及神經,漸進性肌陣攣性癲癇
臘腸犬,腦及神經,猝睡症
臘腸犬,腦及神經,神經性蠟樣脂褐質沈著症
臘腸犬,脊椎脊髓及神經,椎間盤突出疾病
臘腸犬,腫瘤及癌症,皮膚組織細胞瘤
臘腸犬,嘴及口腔,牙周病
臘腸犬,肌肉,會陰疝氣
臘腸犬,肌肉,先天性重症肌無力
臘腸犬,肌肉,鼻咽部發育不良/狹窄
臘腸犬,耳朵,耳聾
法國鬥牛犬,毛髮皮膚,過敏性皮膚炎
法國鬥牛犬,毛髮皮膚,毛囊蟲症
法國鬥牛犬,眼睛,永存性瞳孔殘膜
法國鬥牛犬,眼睛,視網膜增生不良
法國鬥牛犬,眼睛,眼瞼內翻
法國鬥牛犬,眼睛,幼年性白內障
法國鬥牛犬,眼睛,多生睫毛
法國鬥牛犬,骨骼及關節,髖關節發育不全
法國鬥牛犬,骨骼及關節,肘部發育不良
法國鬥牛犬,骨骼及關節,髕關節鬆脫/異位
法國鬥牛犬,血液,B型血友病(第九凝血因子缺乏症)
法國鬥牛犬,心臟,肺動脈狹窄症
法國鬥牛犬,呼吸系統,短吻犬症候群
法國鬥牛犬,消化排泄系統,食道旁裂孔疝氣
法國鬥牛犬,消化排泄系統,組織細胞潰瘍性結腸炎
法國鬥牛犬,內分泌系統,甲狀腺功能減退/低下
法國鬥牛犬,腦及神經,壞死性腦膜炎/巴哥犬腦炎
法國鬥牛犬,脊椎脊髓及神經,半椎體和蝴蝶椎體
法國鬥牛犬,脊椎脊髓及神經,椎間盤病
法國鬥牛犬,脊椎脊髓及神經,退化性脊髓病
法國鬥牛犬,生殖系統,隱睪
威爾斯柯基犬,眼睛,永久性瞳孔殘膜
威爾斯柯基犬,眼睛,多生睫毛
威爾斯柯基犬,眼睛,白內障
威爾斯柯基犬,眼睛,原發性窄角青光眼
威爾斯柯基犬,眼睛,漸進性視網膜萎縮症
威爾斯柯基犬,眼睛,視網膜增生不良
威爾斯柯基犬,骨骼及關節,髖關節增生不良
威爾斯柯基犬,骨骼及關節,肘部增生不良
威爾斯柯基犬,骨骼及關節,髕骨脫臼
威爾斯柯基犬,消化排泄系統,會陰疝氣
威爾斯柯基犬,泌尿系統,胱氨酸尿症/胱氨酸膀胱結石
威爾斯柯基犬,內分泌系統,甲狀腺功能低下
威爾斯柯基犬,脊椎脊髓及神經,退化性脊髓病
威爾斯柯基犬,脊椎脊髓及神經,椎間盤突出疾病
柴犬,毛髮皮膚,過敏性皮膚炎
柴犬,眼睛,永久性瞳孔殘膜
柴犬,眼睛,多生睫毛
柴犬,眼睛,白內障
柴犬,眼睛,青光眼
柴犬,骨骼及關節,髖關節發育不良
柴犬,骨骼及關節,髖骨脫臼
柴犬,骨骼及關節,肘關節發育不良
柴犬,心臟,心室隔膜缺陷
柴犬,內分泌系統,甲狀腺功能減退
柴犬,腦及神經,神經節甘脂儲積症
喜樂蒂牧羊犬,毛髮皮膚,皮肌炎
喜樂蒂牧羊犬,毛髮皮膚,淺層壞死性皮炎
喜樂蒂牧羊犬,眼睛,牧羊犬眼球異常
喜樂蒂牧羊犬,眼睛,永久性瞳孔殘膜
喜樂蒂牧羊犬,眼睛,白內障
喜樂蒂牧羊犬,眼睛,多生睫毛
喜樂蒂牧羊犬,眼睛,角膜營養不良
喜樂蒂牧羊犬,眼睛,眼色素層皮膚症候群
喜樂蒂牧羊犬,骨骼及關節,髖關節發育不全
喜樂蒂牧羊犬,骨骼及關節,髕骨異位
喜樂蒂牧羊犬,骨骼及關節,肘部發育不良
喜樂蒂牧羊犬,骨骼及關節,脛骨遠端外翻畸形
喜樂蒂牧羊犬,骨骼及關節,趾淺肌腱外側鬆弛
喜樂蒂牧羊犬,心臟,開放性動脈導管
喜樂蒂牧羊犬,消化排泄系統,膽囊黏液囊腫
喜樂蒂牧羊犬,泌尿系統,腎病
喜樂蒂牧羊犬,內分泌系統,甲狀腺機能低下症
喜樂蒂牧羊犬,腦及神經,癲癇
喜樂蒂牧羊犬,嘴及口腔,上頜犬牙錯位
喜樂蒂牧羊犬,免疫系統,自身免疫性溶血性貧血
喜樂蒂牧羊犬,免疫系統,泡狀皮膚紅斑狼瘡
米格魯,眼睛,原發性青光眼
米格魯,眼睛,多生睫毛
米格魯,眼睛,視網膜增生不良
米格魯,眼睛,白內障
米格魯,眼睛,角膜營養不良
米格魯,眼睛,永久性瞳孔殘膜
米格魯,眼睛,瞬膜腺體脫出(櫻桃眼)
米格魯,眼睛,小眼症與多種先天性眼球缺陷
米格魯,眼睛,明朗毯退化症
米格魯,骨骼及關節,髖關節發育不良
米格魯,骨骼及關節,髕骨異位
米格魯,骨骼及關節,軟骨增生不良
米格魯,骨骼及關節,肘關節發育不良
米格魯,血液,第七凝血因子缺乏症
米格魯,血液,丙酮酸激酶缺乏症
米格魯,血液,幼年多動脈炎
米格魯,心臟,肺動脈瓣狹窄
米格魯,泌尿系統,腎臟澱粉樣變性病
米格魯,內分泌系統,糖尿病
米格魯,內分泌系統,甲狀腺功能低下
米格魯,腦及神經,癲癇
米格魯,腦及神經,進行性肌陣攣性癲癇
米格魯,脊椎脊髓及神經,椎間盤疾病
米格魯,腫瘤及癌症,膀胱和尿道腫瘤
米格魯,生殖系統,隱睪
米格魯,嘴及口腔,牙周病
米格魯,耳朵,耳聾
英國鬥牛犬,毛髮皮膚,毛囊蟲症
英國鬥牛犬,眼睛,多生睫毛
英國鬥牛犬,眼睛,眼瞼內翻
英國鬥牛犬,眼睛,眼瞼外翻
英國鬥牛犬,眼睛,視網膜增生不良
英國鬥牛犬,眼睛,瞬膜腺體脫垂（櫻桃眼）
英國鬥牛犬,眼睛,乾眼症
英國鬥牛犬,眼睛,永久性瞳孔殘膜
英國鬥牛犬,眼睛,白內障
英國鬥牛犬,眼睛,慢性淺層角膜炎
英國鬥牛犬,骨骼及關節,髖關節發育不良
英國鬥牛犬,骨骼及關節,肘關節發育不良
英國鬥牛犬,骨骼及關節,髕骨異位
英國鬥牛犬,骨骼及關節,分離性骨軟骨炎
英國鬥牛犬,心臟,肺動脈狹窄症
英國鬥牛犬,呼吸系統,短吻犬呼吸道症候群
英國鬥牛犬,消化排泄系統,食道裂孔疝氣
英國鬥牛犬,泌尿系統,高尿酸尿症/尿路結石症
英國鬥牛犬,泌尿系統,胱氨酸尿石症
英國鬥牛犬,內分泌系統,甲狀腺功能減退症
英國鬥牛犬,脊椎脊髓及神經,脊柱裂
英國鬥牛犬,畸形,全身性水腫(致命性先天性水腫，Anasarca)
邊境牧羊犬,眼睛,牧羊犬眼球異常/先天性視網膜脈絡膜缺損
邊境牧羊犬,眼睛,漸進性視網膜萎縮症
邊境牧羊犬,眼睛,永久性瞳孔膜
邊境牧羊犬,眼睛,玻璃體移位
邊境牧羊犬,眼睛,白內障
邊境牧羊犬,眼睛,視網膜增生不良
邊境牧羊犬,骨骼及關節,髖關節發育不良
邊境牧羊犬,骨骼及關節,肘關節發育不良
邊境牧羊犬,骨骼及關節,髕骨異位
邊境牧羊犬,骨骼及關節,骨軟骨病
邊境牧羊犬,血液,嗜中性白血球困阻症
邊境牧羊犬,血液,肝門脈系統分流
邊境牧羊犬,內分泌系統,糖尿病
邊境牧羊犬,內分泌系統,甲狀腺功能減退症
邊境牧羊犬,腦及神經,神經性蠟樣脂褐質沈著症
邊境牧羊犬,腦及神經,癲癇
邊境牧羊犬,腦及神經,小腦營養性衰竭
邊境牧羊犬,耳朵,耳聾
鬆獅犬,毛髮皮膚,皮脂腺炎
鬆獅犬,毛髮皮膚,X脫毛症
鬆獅犬,毛髮皮膚,落葉型天皰瘡
鬆獅犬,眼睛,永久性瞳孔殘膜
鬆獅犬,眼睛,眼瞼內翻
鬆獅犬,眼睛,原發性青光眼
鬆獅犬,眼睛,角膜營養不良
鬆獅犬,眼睛,暴露性角膜病變症後群
鬆獅犬,眼睛,眼瞼外翻
鬆獅犬,眼睛,白內障
鬆獅犬,眼睛,慢性淺表性角膜炎
鬆獅犬,骨骼及關節,髖關節發育不良
鬆獅犬,骨骼及關節,髕骨異位
鬆獅犬,骨骼及關節,肘關節發育不良
鬆獅犬,心臟,不完全房室傳導阻滯
鬆獅犬,心臟,肺動脈狹窄症
鬆獅犬,消化排泄系統,胃扭轉
鬆獅犬,消化排泄系統,胰臟腺胞細胞萎縮
鬆獅犬,泌尿系統,家族性青少年時期腎病
鬆獅犬,內分泌系統,甲狀腺功能低下
鬆獅犬,腦及神經,去髓鞘疾病
鬆獅犬,腫瘤及癌症,胃癌
鬆獅犬,腫瘤及癌症,口腔和舌部黑色素瘤
鬆獅犬,肌肉,前十字韌帶斷裂
鬆獅犬,肌肉,先天性肌強直症
哈士奇,毛髮皮膚,鋅反應性皮膚病
哈士奇,毛髮皮膚,眼色素層皮膚症候群
哈士奇,毛髮皮膚,X脫毛症
哈士奇,眼睛,角膜營養不良
哈士奇,眼睛,X性聯漸進性視網膜退化症
哈士奇,眼睛,原發性青光眼
哈士奇,眼睛,永久性瞳孔殘膜
哈士奇,眼睛,慢性淺層角膜炎
哈士奇,眼睛,幼年白內障
哈士奇,骨骼及關節,髕骨異位
哈士奇,骨骼及關節,髖關節發育不全
哈士奇,呼吸系統,支氣管擴張症
哈士奇,呼吸系統,自發性氣胸
哈士奇,泌尿系統,輸尿管異位
哈士奇,內分泌系統,甲狀腺功能低下
哈士奇,腦及神經,癲癇
哈士奇,腫瘤及癌症,甲狀腺癌
哈士奇,生殖系統,隱睪症
哈士奇,免疫系統,嗜酸性炎症
薩摩耶,毛髮皮膚,皮脂腺炎
薩摩耶,毛髮皮膚,X-脫毛症
薩摩耶,眼睛,X染色體遺傳性視網膜退化症
薩摩耶,眼睛,眼睛及骨骼發育異常
薩摩耶,眼睛,視網膜增生不良
薩摩耶,眼睛,睫毛倒插
薩摩耶,眼睛,角膜內皮失養症
薩摩耶,眼睛,白內障
薩摩耶,眼睛,永久性瞳孔殘膜
薩摩耶,眼睛,原發性青光眼
薩摩耶,眼睛,眼色素層皮膚症候群
薩摩耶,骨骼及關節,髖關節發育不全
薩摩耶,骨骼及關節,肘關節發育不全
薩摩耶,心臟,肺動脈瓣狹窄
薩摩耶,消化排泄系統,胃扭轉
薩摩耶,內分泌系統,甲狀腺功能低下
薩摩耶,內分泌系統,糖尿病
薩摩耶,腫瘤及癌症,舌鱗狀上皮細胞癌
黃金獵犬,毛髮皮膚,過敏性皮炎
黃金獵犬,毛髮皮膚,皮脂漏
黃金獵犬,毛髮皮膚,魚鱗癬/原發性皮膚角化缺陷
黃金獵犬,毛髮皮膚,皮脂腺囊腫
黃金獵犬,眼睛,漸進性視網膜萎縮症
黃金獵犬,眼睛,睫毛倒插
黃金獵犬,眼睛,白內障 虹膜囊腫
